book_link	book_description
https://www.goodreads.com/book/show/23692271	100,000 years ago, at least six human species inhabited the earth. Today there is just one. Us. Homo sapiens. How did our species succeed in the battle for dominance? Why did our foraging ancestors come together to create cities and kingdoms? How did we come to believe in gods, nations and human rights; to trust money, books and laws; and to be enslaved by bureaucracy, tim
https://www.goodreads.com/book/show/32289	In the tradition of Jane Goodall and Dian Fossey, Robert Sapolsky, a foremost science writer and recipient of a MacArthur Genius Grant, tells the mesmerizing story of his twenty-one years in remote Kenya with a troop of Savannah baboons.“I had never planned to become a savanna baboon when I grew up; instead, I had always assumed I would become a mountain gorilla,” writes R
https://www.goodreads.com/book/show/11559200	Picking up from A Discovery of Witches’ cliffhanger ending, Shadow of Night takes Diana and Matthew on a trip through time to Elizabethan London, where they are plunged into a world of spies, magic, and a coterie of Matthew’s old friends, the School of Night. As the search for Ashmole 782 deepens and Diana seeks out a witch to tutor her in magic, the net of Matthew’s past
https://www.goodreads.com/book/show/5659	"There is nothing half so much worth doing as simply messing around in boats."When Mole flees his little underground home he discovers new friends and adventures with Raj, Toad and Badger.This much-loved story has been carefully retold for young children to enjoy. With beautiful illustrations throughout, it provides the perfect introduction to a classic tale.
https://www.goodreads.com/book/show/28257707	Alternate cover edition of ISBN 9780062457738In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be "positive" all the time so that we can truly become better, happier people.For decades, we’ve been told that positive thinking is the key to a happy, rich life. "F**k positivity," Mark Manson says. "Let’s be
https://www.goodreads.com/book/show/40097951	The Silent Patient is a shocking psychological thriller of a woman’s act of violence against her husband—and of the therapist obsessed with uncovering her motive.Alicia Berenson’s life is seemingly perfect. A famous painter married to an in-demand fashion photographer, she lives in a grand house with big windows overlooking a park in one of London’s most desirable areas. O
https://www.goodreads.com/book/show/5755	The classic book on the development of human language by the world’s leading expert on language and the mind.In this classic, the world&apos;s expert on language and mind lucidly explains everything you always wanted to know about language: how it works, how children learn it, how it changes, how the brain computes it, and how it evolved. With deft use of examples of humor and
https://www.goodreads.com/book/show/136251	Harry Potter is leaving Privet Drive for the last time. But as he climbs into the sidecar of Hagrid’s motorbike and they take to the skies, he knows Lord Voldemort and the Death Eaters will not be far behind.The protective charm that has kept him safe until now is broken. But the Dark Lord is breathing fear into everything he loves. And he knows he can’t keep hiding.To sto
https://www.goodreads.com/book/show/18335634	Danger and betrayal, love and loss, secrets and enchantment are woven together in the breathtaking finale to the #1 New York Times bestselling Infernal Devices Trilogy, prequel to the internationally bestselling Mortal Instruments series.THE INFERNAL DEVICES WILL NEVER STOP COMINGA net of shadows begins to tighten around the Shadowhunters of the London Institute. Mortmain
https://www.goodreads.com/book/show/50214741	The unforgettable, inspiring story of a teenage girl growing up in a rural Nigerian village who longs to get an education so that she can find her “louding voice” and speak up for herself, The Girl with the Louding Voice is a simultaneously heartbreaking and triumphant tale about the power of fighting for your dreams. Despite the seemingly insurmountable obstacles in her p
https://www.goodreads.com/book/show/43521693	Five New Yorkers must come together in order to defend their city from an ancient evil in the first book of a stunning new series by Hugo award-winning and NYT bestselling author N. K. Jemisin.Every great city has a soul. Some are as ancient as myths, and others are as new and destructive as children. New York City? She&apos;s got six.But every city also has a dark side. A roil
https://www.goodreads.com/book/show/21442812	This English and Chinese bilingual edition of a "A Madman&apos;s Diary" was first published in 1918 by Lu Xun, one of the greatest writers in 20th-century Chinese literature. This short story is one of the first and most influential modern works written in vernacular Chinese and would become a cornerstone of the New Culture Movement. The story was often referred to as "China&apos;s
https://www.goodreads.com/book/show/29844228	You can’t stop the future. You can’t rewind the past.The only way to learn the secret . . . is to press play.Clay Jensen returns home from school to find a strange package with his name on it lying on his porch. Inside he discovers several cassette tapes recorded by Hannah Baker–his classmate and crush–who committed suicide two weeks earlier. Hannah’s voice tells him that
https://www.goodreads.com/book/show/4667024	Librarian&apos;s note: An alternate cover edition can be found hereThree ordinary women are about to take one extraordinary step.Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her
https://www.goodreads.com/book/show/1051837	Meant for a one-semester survey course in general economics, this book develops the basic principles of micro and macroeconomic analysis, and employs them as tools rather than ends. It introduces a method of reasoning to think like an economist through example and application. It presents the errors in much popular reasoning about economic events.
https://www.goodreads.com/book/show/52166786	The final chapter in the Daevabad Trilogy, in which a con-woman and an idealistic djinn prince join forces to save a magical kingdom from a devastating civil war.Daevabad has fallen.After a brutal conquest stripped the city of its magic, Nahid leader Banu Manizheh and her resurrected commander, Dara, must try to repair their fraying alliance and stabilize a fractious, warr
https://www.goodreads.com/book/show/9520360	PERCY IS CONFUSED. When he awoke from his long sleep, he didn&apos;t know much more than his name. His brain fuzz is lingering, even after the wolf Lupa told him he is a demigod and trained him to fight with the pen/sword in his pocket. Somehow Percy manages to make it to a camp for half-bloods, despite the fact that he has to keep killing monsters along the way. But the camp d
