user	item	timestamp	rating	aspects	liked/disliked-aspects	comment
18	644	-2-	4	genre(s): Classics, Fiction, Romance, Historical Fiction, Literature, Historical, 19th Century, British Literature, European Literature, Classic Literature ------ author(s): Jane Austen, Deidre Shauna Lynch, James Kinsley	Classics, Romance, Historical Fiction, Literature, Historical, 19th Century, British Literature	nan
18	389	-2-	5	genre(s): Classics, Fiction, Historical Fiction, Adventure, France, Cultural, Literature, Historical, French Literature, European Literature ------ author(s): Alexandre Dumas	genre(s): Classics, Fiction, Historical Fiction, Adventure	nan
18	902	-2-	5	genre(s): Classics, Fiction, School, Academic, Historical, Historical Fiction, Literature, Romance, Novels, Read For School ------ author(s): F. Scott Fitzgerald, F. Scott Fitzgerald, Eleanor Lanahan, Jesmyn Ward	genre, literature, classics	nan
18	648	-2-	3	genre(s): Fiction, Magical Realism, Classics, Historical, Historical Fiction, Literature, Romance, Latin American, Cultural, Novels ------ author(s): Gabriel García Márquez	genre, magical, lassics, romance	nan
18	267	-2-	5	genre(s): Classics, Fiction, Historical Fiction, France, Cultural, Literature, French Literature, European Literature, Gothic, Historical ------ author(s): Victor Hugo, Walter J. Cobb	genre, literature, classics, romance	nan
18	17	-2-	5	genre(s): Fantasy, Young Adult, Science Fiction, Romance, Retellings, Dystopia, Fiction, Fairy Tales, Audiobook, Adventure ------ author(s): Marissa Meyer	genre, adult, fantasy	nan
4	960	-2-	3	genre(s): Sequential Art, Manga, Comics, Graphic Novels, Horror, Mystery, Thriller, Fiction, Crime, Seinen ------ author(s): Naoki Urasawa, Satch Watanabe	Content	nan
4	25	-2-	4	genre(s): Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary, Adult, Adult Fiction, Audiobook ------ author(s): Gillian Flynn	Genre	nan
4	30	-2-	5	genre(s): Thriller, Fiction, Mystery, Science Fiction, Suspense, Crime, Mystery Thriller, Horror, Medical, Space ------ author(s): Tess Gerritsen	Genre	nan
4	35	-2-	2	genre(s): Mystery, Thriller, Fiction, Mystery Thriller, Audiobook, Suspense, Crime, Adult, Psychological Thriller, Contemporary ------ author(s): Alex Michaelides	Content	nan
4	36	-2-	2	genre(s): Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Audiobook, Crime, Psychological Thriller, Adult, Adult Fiction ------ author(s): A.J. Finn	Author	nan
4	934	-2-	1	genre(s): Fantasy, Young Adult, Middle Grade, Fiction, Childrens, Magic, Adventure, Juvenile, Young Adult Fantasy, Audiobook ------ author(s): Jenny Nimmo	Genre	nan
24	640	-2-	3	genre(s): Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Historical, Childrens Classics, American, Literature ------ author(s): Eleanor H. Porter, Viltaras Alksnėnas	content	nan
24	641	-2-	4	genre(s): Classics, Childrens, Fiction, Young Adult, Fantasy, Animals, Middle Grade, Juvenile, Academic, School ------ author(s): E.B. White, Garth Williams, Rosemary Wells	content	nan
24	642	-2-	4	genre(s): Classics, Fantasy, Fiction, Childrens, Adventure, Young Adult, Audiobook, Middle Grade, Fairy Tales, Literature ------ author(s): J.M. Barrie, Michael Hague	genre, content	nan
24	388	-2-	4	genre(s): Classics, Fiction, Adventure, Young Adult, Historical, Historical Fiction, Childrens, Literature, Pirates, Fantasy ------ author(s): Robert Louis Stevenson, David W. Whitehead, Richard S. Hartmetz	genre, author	nan
24	385	-2-	4	genre(s): Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Literature, Novels, Middle Grade, Classic Literature ------ author(s): Jane Carruth, Lewis Carroll, Rene Cloke	genre	nan
24	653	-2-	4	genre(s): Picture Books, Childrens, Christmas, Fiction, Fantasy, Classics, Holiday, Adventure, Kids, Juvenile ------ author(s): Chris Van Allsburg, Liam Neeson	genre	nan
17	64	-2-	4	genre(s): Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary, Cultural, Sweden, Adult ------ author(s): Stieg Larsson, Reg Keeland	genre	nan
17	395	-2-	4	genre(s): Romance, Fiction, Chick Lit, Womens Fiction, Contemporary, Adult, Adult Fiction, Contemporary Romance, Love, Drama ------ author(s): Nicholas Sparks	genre	nan
17	15	-2-	3	genre(s): Romance, Fiction, Chick Lit, Womens Fiction, Contemporary, Adult, Adult Fiction, Contemporary Romance, Drama, Love ------ author(s): Nicholas Sparks	genre	nan
17	16	-2-	3	genre(s): Romance, Contemporary, Contemporary Romance, Audiobook, Adult, Mental Health, Health, Fiction, New Adult, Drama ------ author(s): Marni Mann	genre	nan
17	21	-2-	4	genre(s): Historical Fiction, Fiction, Historical, War, World War II, Audiobook, Adult, Cultural, France, Book Club ------ author(s): Anthony Doerr	genre	nan
17	25	-2-	5	genre(s): Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary, Adult, Adult Fiction, Audiobook ------ author(s): Gillian Flynn	genre	nan
21	640	-2-	4	genre(s): Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Historical, Childrens Classics, American, Literature ------ author(s): Eleanor H. Porter, Viltaras Alksnėnas	genre	nan
21	385	-2-	4	genre(s): Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Literature, Novels, Middle Grade, Classic Literature ------ author(s): Jane Carruth, Lewis Carroll, Rene Cloke	genre, author	classics, fiction
21	642	-2-	4	genre(s): Classics, Fantasy, Fiction, Childrens, Adventure, Young Adult, Audiobook, Middle Grade, Fairy Tales, Literature ------ author(s): J.M. Barrie, Michael Hague	genre	nan
21	388	-2-	4	genre(s): Classics, Fiction, Adventure, Young Adult, Historical, Historical Fiction, Childrens, Literature, Pirates, Fantasy ------ author(s): Robert Louis Stevenson, David W. Whitehead, Richard S. Hartmetz	genre	nan
21	263	-2-	2	genre(s): Classics, Fiction, Historical Fiction, Young Adult, Romance, Historical, Literature, Childrens, Classic Literature, Novels ------ author(s): Louisa May Alcott	author	nan
21	855	-2-	4	genre(s): Classics, Fantasy, Fiction, Childrens, Adventure, Young Adult, Audiobook, Middle Grade, Literature, 19th Century ------ author(s): Lewis Carroll	genre, author	nan
12	512	-2-	4	genre(s): Fiction, Albanian Literature, European Literature, Classics, Historical, Historical Fiction, Literature, 20th Century, Novels, Contemporary ------ author(s): Ismail Kadare	genre	nan
12	4	-2-	3	genre(s): Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Novels, Historical Romance, Adult, Classic Literature ------ author(s): Jane Austen, Anna Quindlen	content	nan
12	5	-2-	3	genre(s): Classics, Fiction, Literature, Novels, Cultural, Russia, Romance, Russian Literature, Literary Fiction, 20th Century ------ author(s): Vladimir Nabokov, Craig Raine	genre,content	nan
12	521	-2-	3	genre(s): Fiction, Classics, Short Stories, Literature, American, Africa, Cultural, 20th Century, Classic Literature, Literary Fiction ------ author(s): Ernest Hemingway	genre	nan
12	267	-2-	2	genre(s): Classics, Fiction, Historical Fiction, France, Cultural, Literature, French Literature, European Literature, Gothic, Historical ------ author(s): Victor Hugo, Walter J. Cobb	content	nan
12	396	-2-	2	genre(s): Classics, Fiction, Historical Fiction, Literature, Historical, Novels, School, Academic, Classic Literature, 19th Century ------ author(s): Charles Dickens, Richard Maxwell	content	nan
16	1031	-2-	3	genre(s): Psychology, Nonfiction, Self Help, Mental Health, Parenting, Relationships, Personal Development, Health, Counselling, Family ------ author(s): Lindsay C. Gibson	genre	nan
16	909	-2-	4	genre(s): Self Help, Psychology, Nonfiction, Relationships, Marriage, Language, Communication, Personal Development, How To, Family ------ author(s): David D. Burns	genre	nan
16	913	-2-	1	genre(s): Nonfiction, Language, Humanities, Linguistics, Science, Psychology, Anthropology, Sociology, Philosophy, History ------ author(s): Guy Deutscher	genre	nan
16	238	-2-	5	genre(s): Nonfiction, Psychology, Business, Science, Self Help, Sociology, Audiobook, Personal Development, Philosophy, Leadership ------ author(s): Malcolm Gladwell	genre	nan
16	1007	-2-	3	genre(s): Psychology, Nonfiction, Self Help, Mental Health, Health, Science, Social Work, Social Science, Counselling, Audiobook ------ author(s): Bessel A. van der Kolk	genre	nan
16	413	-2-	5	author(s): James Clear, Ramit Sethi, Gary Keller Dr Carol Dweck, Mindset By Carol S. Dweck, I Will Teach You to Be Rich By Ramit Sethi, Atomic Habits By James Clear, One Thing By Gary Keller	content	nan
25	900	-2-	3	genre(s): Self Help, Psychology, Nonfiction, Relationships ------ author(s): Lillian Glass	genre	nan
25	908	-2-	4	genre(s): Self Help, Nonfiction, Business, Productivity, Personal Development, Psychology, Audiobook, Management, Leadership, Buisness ------ author(s): Brian Tracy	genre	nan
25	909	-2-	3	genre(s): Self Help, Psychology, Nonfiction, Relationships, Marriage, Language, Communication, Personal Development, How To, Family ------ author(s): David D. Burns	genre	nan
25	144	-2-	1	genre(s): Islam, Religion, Spirituality, Nonfiction ------ author(s): Nuh Ha Mim Keller	genre	nan
25	913	-2-	4	genre(s): Nonfiction, Language, Humanities, Linguistics, Science, Psychology, Anthropology, Sociology, Philosophy, History ------ author(s): Guy Deutscher	genre	nan
25	789	-2-	4	genre(s): Business, Nonfiction, Self Help, Personal Development, Leadership, Psychology, Entrepreneurship, Audiobook, Art, Productivity ------ author(s): Seth Godin	genre	nan
22	1031	-2-	3	genre(s): Psychology, Nonfiction, Self Help, Mental Health, Parenting, Relationships, Personal Development, Health, Counselling, Family ------ author(s): Lindsay C. Gibson	genre	psychology
22	664	-2-	4	genre(s): Self Help, Nonfiction, Business, Personal Development, Psychology, Leadership, Productivity, Management, Audiobook, Philosophy ------ author(s): Stephen R. Covey	genre	personal development
22	794	-2-	2	genre(s): Self Help, Nonfiction, Personal Development, Productivity, Business, Psychology, Audiobook, Health, Inspirational, Leadership ------ author(s): Hal Elrod	content	nan
22	283	-2-	4	genre(s): Philosophy, Politics, History, Nonfiction, Cultural, Political Science, Russia, Economics, Religion, 20th Century ------ author(s): Bertrand Russell	author	nan
22	672	-2-	4	genre(s): Nonfiction, Self Help, Business, Productivity, Psychology, Personal Development, Audiobook, Leadership, Management, Writing ------ author(s): Cal Newport	genre	personal development
22	289	-2-	4	genre(s): Nonfiction, Politics, Economics, Philosophy, History, Business, Sociology, Society, Culture, Science ------ author(s): Paul  Mason	genre	politics
13	641	-2-	3	genre(s): Classics, Childrens, Fiction, Young Adult, Fantasy, Animals, Middle Grade, Juvenile, Academic, School ------ author(s): E.B. White, Garth Williams, Rosemary Wells	author	nan
13	642	-2-	4	genre(s): Classics, Fantasy, Fiction, Childrens, Adventure, Young Adult, Audiobook, Middle Grade, Fairy Tales, Literature ------ author(s): J.M. Barrie, Michael Hague	author	nan
13	46	-2-	4	genre(s): Fantasy, Mythology, Young Adult, Middle Grade, Fiction, Adventure, Urban Fantasy, Magic, Childrens, Young Adult Fantasy ------ author(s): Rick Riordan	genre	nan
13	928	-2-	4	genre(s): Fantasy, Young Adult, Childrens, Middle Grade, Fiction, Magic, Adventure, Mystery, Juvenile, Audiobook ------ author(s): Jenny Nimmo	genre	nan
13	929	-2-	3	genre(s): Fantasy, Young Adult, Childrens, Fiction, Middle Grade, Magic, Adventure, Mystery, Juvenile, Time Travel ------ author(s): Jenny Nimmo	genre	nan
13	930	-2-	3	genre(s): Fantasy, Young Adult, Childrens, Fiction, Middle Grade, Magic, Adventure, Juvenile, Mystery, Young Adult Fantasy ------ author(s): Jenny Nimmo	genre	nan
23	385	-2-	3	genre(s): Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Literature, Novels, Middle Grade, Classic Literature ------ author(s): Jane Carruth, Lewis Carroll, Rene Cloke	genre: Children, Fiction, Fantasy, Adventure	nan
23	642	-2-	4	genre(s): Classics, Fantasy, Fiction, Childrens, Adventure, Young Adult, Audiobook, Middle Grade, Fairy Tales, Literature ------ author(s): J.M. Barrie, Michael Hague	genre: Children, Fiction, Fantasy, Adventure	nan
23	641	-2-	5	genre(s): Classics, Childrens, Fiction, Young Adult, Fantasy, Animals, Middle Grade, Juvenile, Academic, School ------ author(s): E.B. White, Garth Williams, Rosemary Wells	genre: Children, Fiction, Fantasy, Animals	nan
23	527	-2-	3	genre(s): Childrens, Fiction, Adventure, Mystery, Classics, Young Adult, Middle Grade, European Literature, British Literature, Juvenile ------ author(s): Enid Blyton	genre: Children, Fiction, Fantasy, Adventure, Mystery	nan
23	528	-2-	3	genre(s): Childrens, Adventure, Fiction, Mystery, Classics, Young Adult, Middle Grade, European Literature, British Literature, Novels ------ author(s): Enid Blyton	genre: Children, Adventure, Mystery, Fiction	nan
23	529	-2-	3	genre(s): Childrens, Fiction, Adventure, Mystery, Classics, Young Adult, Middle Grade, Novels, European Literature, British Literature ------ author(s): Enid Blyton	genre: Children, Adventure, Mystery, Fiction	nan
14	908	-2-	3	genre(s): Self Help, Nonfiction, Business, Productivity, Personal Development, Psychology, Audiobook, Management, Leadership, Buisness ------ author(s): Brian Tracy	genre	Business, Productivity, Personal Development, Psychology
14	914	-2-	2	genre(s): Personal Development, Self Help, Business, Nonfiction, Audiobook, Management, Productivity, Leadership ------ author(s): Darren Hardy	genre	nan
14	789	-2-	3	genre(s): Business, Nonfiction, Self Help, Personal Development, Leadership, Psychology, Entrepreneurship, Audiobook, Art, Productivity ------ author(s): Seth Godin	genre	nan
14	792	-2-	3	genre(s): Business ------ author(s): Yanik Silver	genre	nan
14	794	-2-	3	genre(s): Self Help, Nonfiction, Personal Development, Productivity, Business, Psychology, Audiobook, Health, Inspirational, Leadership ------ author(s): Hal Elrod	genre,author	nan
14	797	-2-	3	genre(s): Business, Nonfiction, Entrepreneurship, Buisness, Self Help, Management, Leadership, Personal Development, Psychology, Audiobook ------ author(s): Seth Godin	genre	nan
5	790	-2-	4	genre(s): Self Help, Nonfiction, Spirituality, Personal Development, Inspirational, Psychology, Philosophy, Audiobook, Metaphysics, Entrepreneurship ------ author(s): Rhonda Byrne	genre	nan
5	6	-2-	4	genre(s): Spirituality, Nonfiction, Religion, Hinduism, Philosophy ------ author(s): Chinmayananda Saraswati	genre	nan
5	10	-2-	4	genre(s): Nonfiction, Spirituality, Psychology, Self Help, New Age, Romance, Philosophy, Love, Metaphysics, Paranormal ------ author(s): Brian L. Weiss	genre	nan
5	151	-2-	5	genre(s): Philosophy, Nonfiction ------ author(s): Muhammad Iqbal	genre, author	nan
5	140	-2-	4	genre(s): Islam, Religion, Philosophy, Nonfiction ------ author(s): Charles Le Gai Eaton	genre	nan
5	142	-2-	4	genre(s): Islam, Religion, Spirituality, Nonfiction, Theology, Philosophy, Self Help ------ author(s): Abu Hamid al-Ghazali, Abdal Hakim Murad	genre	nan
6	900	-2-	1	genre(s): Self Help, Psychology, Nonfiction, Relationships ------ author(s): Lillian Glass	genre	nan
6	1031	-2-	1	genre(s): Psychology, Nonfiction, Self Help, Mental Health, Parenting, Relationships, Personal Development, Health, Counselling, Family ------ author(s): Lindsay C. Gibson	genre	nan
6	908	-2-	1	genre(s): Self Help, Nonfiction, Business, Productivity, Personal Development, Psychology, Audiobook, Management, Leadership, Buisness ------ author(s): Brian Tracy	genre	nan
6	909	-2-	1	genre(s): Self Help, Psychology, Nonfiction, Relationships, Marriage, Language, Communication, Personal Development, How To, Family ------ author(s): David D. Burns	genre	nan
6	913	-2-	3	genre(s): Nonfiction, Language, Humanities, Linguistics, Science, Psychology, Anthropology, Sociology, Philosophy, History ------ author(s): Guy Deutscher	genre	nan
6	789	-2-	3	genre(s): Business, Nonfiction, Self Help, Personal Development, Leadership, Psychology, Entrepreneurship, Audiobook, Art, Productivity ------ author(s): Seth Godin	genre	nan
15	514	-2-	3	genre(s): Fiction, Historical, Historical Fiction, Albanian Literature, Literature, Novels, Classics, War, 20th Century, European Literature ------ author(s): Ismail Kadare	genre, content	nan
15	389	-2-	4	genre(s): Classics, Fiction, Historical Fiction, Adventure, France, Cultural, Literature, Historical, French Literature, European Literature ------ author(s): Alexandre Dumas	genre, content	nan
15	519	-2-	3	genre(s): Fiction, Asian Literature, Turkish Literature, Turkish, Cultural, Classics, Literature, Historical Fiction, Historical, Novels ------ author(s): Yaşar Kemal, Edouard Roditi	genre, content	nan
15	136	-2-	2	genre(s): Classics, Fiction, Historical Fiction, Cultural, Russia, Literature, Russian Literature, War, Novels, Historical ------ author(s): Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude, Vladimir Levstik	genre	nan
15	492	-2-	2	genre(s): Classics, Fiction, Historical, Historical Fiction, War, Literature, Novels, American, Romance, Classic Literature ------ author(s): Ernest Hemingway	genre, content	nan
15	522	-2-	2	genre(s): Classics, Fiction, German Literature, European Literature, Historical Fiction, War, Cultural, Germany, Literature, Novels ------ author(s): Erich Maria Remarque, Arthur Wesley Wheen	genre, content	nan
19	897	-2-	5	genre(s): Nonfiction, Psychology, Self Help, Philosophy, Personal Development, Audiobook, Cultural, Japan, Mental Health, Health ------ author(s): Ichiro Kishimi, Fumitake Koga, Renate Graßtat, Bodo Primus, Julian Horeyseck, Chris Nonnast	genre	nan
19	259	-2-	5	genre(s): Self Help, Nonfiction, Psychology, Philosophy, Personal Development, Productivity, Spirituality, Business, Mental Health ------ author(s): Darius Foroux	Self Help,personal Development	nan
19	1	-2-	4	genre(s): Nonfiction, Self Help, Business, Psychology, Leadership, Personal Development, Management, Philosophy, Inspirational, Audiobook ------ author(s): Spencer Johnson, Kenneth H. Blanchard	genre	nan
19	904	-2-	5	genre(s): Finance, Business, Nonfiction, Self Help, Personal Finance, Money, Currency, Personal Development, Economics, Classics ------ author(s): George S. Clason, Babylonian Parable	finance,Self Help	nan
19	138	-2-	3	genre(s): Philosophy, Classics, Nonfiction, Religion, Cultural, China, History, Spirituality, Eastern Philosophy, Asia ------ author(s): Confucius, D.C. Lau	classic	nan
19	151	-2-	4	genre(s): Philosophy, Nonfiction ------ author(s): Muhammad Iqbal	Philosophy, Non fiction	nan
10	4	-2-	2	genre(s): Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Novels, Historical Romance, Adult, Classic Literature ------ author(s): Jane Austen, Anna Quindlen	genre	romantic
10	389	-2-	3	genre(s): Classics, Fiction, Historical Fiction, Adventure, France, Cultural, Literature, Historical, French Literature, European Literature ------ author(s): Alexandre Dumas	genre	adventure
10	521	-2-	4	genre(s): Fiction, Classics, Short Stories, Literature, American, Africa, Cultural, 20th Century, Classic Literature, Literary Fiction ------ author(s): Ernest Hemingway	genre	literature
10	397	-2-	2	genre(s): Classics, Fiction, Romance, Historical Fiction, Literature, Historical, 19th Century, Classic Literature, Audiobook, Novels ------ author(s): Jane Austen, Fiona Stafford	genre	classics
10	398	-2-	2	genre(s): Classics, Fiction, Gothic, Horror, 19th Century, Humor, British Literature, European Literature, Literature, Comedy ------ author(s): Thomas Love Peacock	genre	literature
10	152	-2-	2	genre(s): Fiction, India, Cultural, Short Stories, Classics, Indian Literature, Asian Literature, Literature, Asia, Humor ------ author(s): R.K. Narayan, Jhumpa Lahiri	author	cultural
1	394	-2-	4	genre(s): Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Teen, Coming Of Age, Novels, Drama, Love ------ author(s): John Green	Genre	nan
1	395	-2-	4	genre(s): Romance, Fiction, Chick Lit, Womens Fiction, Contemporary, Adult, Adult Fiction, Contemporary Romance, Love, Drama ------ author(s): Nicholas Sparks	Genre	nan
1	146	-2-	5	genre(s): Young Adult, Fiction, Dystopia, Fantasy, Science Fiction, Romance, Adventure, Teen, Apocalyptic, Post Apocalyptic ------ author(s): Suzanne Collins	Genre	nan
1	534	-2-	3	genre(s): Polyamorous, Reverse Harem, Paranormal Romance, Paranormal, Magic, Romance, Fantasy, Witches, Fairies, Fae ------ author(s): Jacquelyn Faye	Genre	nan
