user	item	timestamp	rating
18	514	-3-	3
18	388	-3-	4
18	5	-3-	5
18	519	-3-	3
18	520	-3-	5
18	521	-3-	3
18	522	-3-	4
18	369	-3-	4
18	344	-3-	3
18	44	-3-	5
18	23	-3-	3
18	152	-3-	5
18	540	-3-	3
18	90	-3-	5
18	30	-3-	5
18	645	-3-	3
18	545	-3-	5
18	546	-3-	5
18	91	-3-	5
18	987	-3-	4
18	549	-3-	5
18	926	-3-	4
18	167	-3-	4
18	40	-3-	5
18	92	-3-	5
18	42	-3-	3
18	43	-3-	4
18	78	-3-	4
18	989	-3-	3
18	562	-3-	4
18	28	-3-	4
18	94	-3-	4
18	950	-3-	4
18	137	-3-	3
18	58	-3-	3
18	190	-3-	4
18	501	-3-	3
18	718	-3-	3
18	65	-3-	4
18	962	-3-	4
18	459	-3-	5
18	966	-3-	4
18	71	-3-	4
18	200	-3-	4
18	460	-3-	4
18	331	-3-	4
18	332	-3-	3
18	717	-3-	3
18	462	-3-	5
18	463	-3-	5
18	723	-3-	4
18	341	-3-	3
18	472	-3-	1
18	89	-3-	3
18	346	-3-	4
18	335	-3-	2
18	988	-3-	2
18	93	-3-	3
18	350	-3-	2
18	351	-3-	4
18	993	-3-	3
18	742	-3-	2
18	360	-3-	2
18	29	-3-	3
18	493	-3-	2
18	494	-3-	2
18	496	-3-	4
18	497	-3-	2
18	373	-3-	5
18	118	-3-	4
18	503	-3-	4
18	504	-3-	4
18	505	-3-	3
18	959	-3-	1
18	810	-3-	5
18	126	-3-	4
18	383	-3-	3
4	384	-3-	3
4	641	-3-	4
4	642	-3-	5
4	727	-3-	5
4	653	-3-	4
4	728	-3-	3
4	942	-3-	1
4	281	-3-	2
4	543	-3-	1
4	930	-3-	1
4	932	-3-	3
4	933	-3-	1
4	935	-3-	2
4	46	-3-	2
4	943	-3-	2
4	564	-3-	3
4	565	-3-	3
4	566	-3-	3
4	567	-3-	4
4	568	-3-	4
4	825	-3-	4
4	700	-3-	3
4	718	-3-	1
4	965	-3-	1
4	329	-3-	2
4	717	-3-	2
4	846	-3-	2
4	977	-3-	1
4	979	-3-	1
4	980	-3-	1
4	981	-3-	2
4	982	-3-	3
4	855	-3-	3
4	856	-3-	4
4	985	-3-	3
4	991	-3-	3
4	100	-3-	3
4	870	-3-	4
4	109	-3-	2
4	367	-3-	3
4	368	-3-	2
4	85	-3-	2
24	384	-3-	4
24	774	-3-	5
24	519	-3-	1
24	648	-3-	4
24	650	-3-	4
24	396	-3-	3
24	915	-3-	3
24	167	-3-	5
24	160	-3-	5
24	929	-3-	5
24	930	-3-	5
24	931	-3-	5
24	932	-3-	5
24	933	-3-	5
24	934	-3-	5
24	935	-3-	5
24	937	-3-	3
24	46	-3-	3
24	564	-3-	4
24	565	-3-	5
24	566	-3-	5
24	567	-3-	5
24	568	-3-	4
24	825	-3-	2
24	570	-3-	4
24	571	-3-	5
24	188	-3-	2
24	830	-3-	3
24	320	-3-	3
24	68	-3-	2
24	965	-3-	3
24	328	-3-	3
24	73	-3-	3
24	331	-3-	2
24	461	-3-	3
24	334	-3-	3
24	465	-3-	3
24	902	-3-	4
24	569	-3-	5
24	347	-3-	3
24	869	-3-	4
24	870	-3-	3
24	551	-3-	4
24	492	-3-	2
24	109	-3-	5
24	373	-3-	3
24	761	-3-	2
24	763	-3-	4
24	102	-3-	4
