user	item1	item2	rating	aspects	liked/disliked-aspects	comment
18	770	242	1	similar genre: Romance, Comedy	genre	nan
18	770	627	-1	similar genre: Comedy------similar content: teen movie, high school	content	nan
18	770	628	-1	similar genre: Comedy------similar content: high school	content	nan
18	770	629	1	similar genre: Romance, Comedy	genre	nan
18	770	635	-1	similar genre: Drama, Romance, Comedy	genre	nan
18	4	192	-1	similar genre: Romance------similar content: romance	content	nan
18	4	197	-1	similar genre: Romance, Comedy------similar content: romance	content	nan
18	4	49	-1	similar content: romance	content	nan
18	4	184	-1	similar genre: Romance------similar content: romance, emotional	genre	nan
18	4	191	-1	nan	content	nan
18	523	620	-1	similar genre: Comedy	content	nan
18	523	242	-1	similar genre: Comedy	genre	nan
18	523	627	-1	similar genre: Comedy	genre	nan
18	523	628	-1	similar genre: Comedy	genre	nan
18	523	629	-1	similar genre: Comedy	genre	nan
24	128	96	1	similar genre: Fantasy, Adventure------similar content: magic, based on a book, fantasy, fantasy world, adventure	content	nan
24	128	6	1	similar genre: Action, Fantasy, Adventure------similar content: fantasy, magic, adventure, silly	genre	nan
24	128	17	1	similar genre: Fantasy, Adventure------similar content: fantasy, magic	content	nan
24	128	758	1	similar genre: Fantasy, Adventure------similar content: fantasy, dragons, magic, based on a book	genre	nan
24	128	319	1	similar genre: Fantasy, Adventure------similar content: fantasy, magic, adventure	content	nan
24	129	96	1	similar genre: Fantasy, Adventure------similar content: mythology, magic, great soundtrack, scenic, based on a book	genre	nan
24	129	6	1	similar actor: Orlando Bloom------similar genre: Action, Fantasy, Adventure------similar content: romance, fantasy, magic, adventure	actor	nan
24	129	17	1	similar genre: Fantasy, Adventure------similar content: fantasy, magic	genre	nan
24	129	758	1	similar genre: Fantasy, Adventure------similar content: fantasy, magic, based on a book	content	nan
24	129	319	1	similar genre: Fantasy, Adventure------similar content: fantasy, magic, adventure	content	nan
24	130	96	1	similar genre: Fantasy, Adventure------similar content: mythology, magic, great soundtrack, scenic, based on a book	genre	nan
