user	item	timestamp	label	aspects	liked/disliked-aspects	comment
18	770	-2-	4	director: Greg Berlanti------actor: Nick Robinson, Jennifer Garner, Josh Duhamel, Katherine Langford, Alexandra Shipp------genre: Comedy, Drama, Romance------content: lgbtq, coming of age, gay, coming out, lgbt	director	nan
18	4	-2-	4	director: Vince Marcello------actor: Joey King, Joel Courtney, Jacob Elordi, Molly Ringwald, Stephen Jennings------genre: Romance, Comedy------content: teen, romance, young love, emotional, chick flick	actor	nan
18	523	-2-	1	director: Taika Waititi, Jemaine Clement------actor: Taika Waititi, Jemaine Clement, Jonny Brugh, Cori Gonzalez-Macuer, Stuart Rutherford------genre: Comedy, Horror------content: mockumentary, dark comedy, vampires, humor, New Zealand	actor, genre	nan
24	128	-2-	3	director: Peter Jackson------actor: Martin Freeman, Ian McKellen, Richard Armitage, Evangeline Lilly, Luke Evans------genre: Action, Adventure, Fantasy------content: Tolkien, Peter Jackson, fantasy world, high fantasy, epic	genre	nan
24	129	-2-	5	director: Peter Jackson------actor: Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Orlando Bloom------genre: Adventure, Fantasy, Action------content: fantasy, adventure, magic, high fantasy, Tolkien	genre	nan
24	130	-2-	5	director: Peter Jackson------actor: Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Orlando Bloom------genre: Adventure, Fantasy, Action------content: fantasy, adventure, high fantasy, magic, based on a book	content	nan
17	137	-2-	4	director: Jonathan Demme------actor: Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald------genre: Crime, Drama, Thriller, Horror------content: serial killer, psychology, Anthony Hopkins, suspense, cannibalism	genre	nan
17	139	-2-	4	director: Fernando Meirelles------actor: Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen------genre: Drama, Crime------content: multiple storylines, Brazil, based on a true story, drugs, crime	content	nan
17	269	-2-	5	director: Michel Gondry------actor: Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood------genre: Science Fiction, Drama, Romance------content: surreal, thought-provoking, nonlinear, bittersweet, Jim Carrey	content	nan
21	2	-2-	3	director: Christopher Nolan------actor: Matthew McConaughey, Jessica Chastain, Anne Hathaway, Michael Caine, Casey Affleck------genre: Adventure, Drama, Science Fiction------content: space, thought-provoking, Christopher Nolan, time travel, good science	genre	nan
21	6	-2-	4	director: Gore Verbinski------actor: Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush, Jack Davenport------genre: Adventure, Fantasy, Action------content: Johnny Depp, pirates, adventure, action, comedy	genre	comedy, fantasy
21	780	-2-	3	director: Steven Spielberg------actor: Daniel Craig, Andy Serkis, Cary Elwes, Jamie Bell, Tony Curran------genre: Adventure, Animation, Mystery------content: animation, treasure hunt, Steven Spielberg, comic book, 3D effects	storyline	nan
12	514	-2-	3	director: Andrew Davis------actor: Harrison Ford, Tommy Lee Jones, Joe Pantoliano, Daniel Roebuck, Jeroen Krabbé------genre: Adventure, Action, Thriller, Crime, Mystery------content: Harrison Ford, Tommy Lee Jones, suspense, thriller, action	genre	nan
12	647	-2-	3	director: Steven Soderbergh------actor: Marion Cotillard, Matt Damon, Laurence Fishburne, Jude Law, Kate Winslet------genre: Drama, Thriller, Science Fiction------content: realistic, virus, apocalypse, plausible, epidemic	genre	nan
12	525	-2-	3	director: Ben Affleck------actor: Ben Affleck, Rebecca Hall, Jeremy Renner, Jon Hamm, Blake Lively------genre: Crime, Drama, Thriller------content: heist, Ben Affleck, bank robbery, action, Boston	genre	nan
10	107	-2-	5	director: Pete Docter------actor: Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo------genre: Animation, Comedy, Family, Adventure------content: Pixar, adventure, touching, computer animation, friendship	genre	nan
10	780	-2-	4	director: Steven Spielberg------actor: Daniel Craig, Andy Serkis, Cary Elwes, Jamie Bell, Tony Curran------genre: Adventure, Animation, Mystery------content: animation, treasure hunt, Steven Spielberg, comic book, 3D effects	genre	nan
10	788	-2-	4	director: Christopher Nolan------actor: John David Washington, Robert Pattinson, Elizabeth Debicki, Kenneth Branagh, Dimple Kapadia------genre: Action, Thriller, Science Fiction------content: time, confusing, Christopher Nolan, action, conceptual	director	nan
16	512	-2-	4	director: Jean-Marc Vallée------actor: Matthew McConaughey, Steve Zahn, Jennifer Garner, Denis O'Hare, Dallas Roberts------genre: Drama, History------content: Matthew McConaughey, social commentary, true story, AIDS, Jared Leto	Genre	nan
16	386	-2-	3	director: Nadia Hallgren------actor: Michelle Obama, Barack Obama, Phoebe Robinson, Sasha Obama, Malia Obama------genre: Documentary	genre	nan
16	646	-2-	4	director: Victor Salva------actor: Scott Mechlowicz, Nick Nolte, Amy Smart, Tim DeKay, Ashton Holmes------genre: Drama------content: inspirational, meditation	genre	nan
25	129	-2-	5	director: Peter Jackson------actor: Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Orlando Bloom------genre: Adventure, Fantasy, Action------content: fantasy, adventure, magic, high fantasy, Tolkien	content,fantasy,adventure,story	nan
25	130	-2-	5	director: Peter Jackson------actor: Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Orlando Bloom------genre: Adventure, Fantasy, Action------content: fantasy, adventure, high fantasy, magic, based on a book	genre,story,content,magic	nan
25	235	-2-	3	director: Andy Muschietti------actor: Sophia Lillis, Wyatt Oleff, Bill Skarsgård, Jaeden Martell, Jeremy Ray Taylor------genre: Horror------content: horror, Stephen King, good adaptation, coming of age, creepy	content	nan
